N,Name
0,Summer
1,Winter
2,Autumn
3,Spring
4,Dragon
5,Dragon's_
6,Lion
7,Lion's_
8,Raven
9,Raven's_
10,Rook's_
11,Griffon
12,Griffon's_
13,The Dread_
14,Dread
15,The Red_
15,Red
16,Black
17,The Black_
18,The Golden_
19,Golden
20,Silver
21,The Silver_
22,Iron
23,The Iron_
24,Steel
25,The Steel_
26,High
27,Low
28,River
29,The River_
30,Night
31,The Night_
32,Dawn
33,The Dawn_
34,Green
35,The Green_
36,Grey
37,The Grey_
38,Storm
39,The Storm's_
40,The Summer_
41,The Autumn_
42,The Winter_
43,The Spring_
44,Spirit
45,WOlf
46,The Wolf's_
47,Falcon
48,The Falcon's_
49,Mist
50,The Mist's_




