N,Name
0,The Black_
1,Black
2,The Red_
3,Red
4,Sera's_
5,Nesirie's_
6,The White_
7,White
8,Silver
9,The Silver_
10,Golden
11,The Golden_
12,Dread_
13,The Dread
14,The Mermaid's_
15,Mermaids
16,Dragons
17,The Dragon's_
18,Drakes
19,The Drake's_
20,Sea
21,Oceans
22,Ravens
23,The Virgin's_
24,The Raven's_
25,Elven
26,The Elf's_
27,The Mist's_
28,PPP's_
29,RRR's_
30,DDD's_
31,The Faerie's_
32,Fairy
33,The River's_
34,River
35,Deaths
36,Death's_
37,Haelyn's_
38,Kriesha's_
39,Belinik's_
40,The Maiden's_
41,Maidens
42,The Dove's_
43,The Gilded_
44,Gilded
45,The Thunder_
46,The King's_
47,The Queen's_
48,The Duke's_
49,The Lord's_
50,The Lady's_
51,The Duchess'_
52,The Emperor's_
53,The Empress'_
54,The Dark_
55,Darks
56,The Widow's_
57,Widows
58,Thunders
59,The Night's_
60,The Day's_
61,The Iron_
62,The Steel_
63,The Lost_
64,The Last_
65,The Seas'_
66,RRR's_
67,The Oceans'_
68,Nights
69,Days
70,The Grey_
71,Suns
72,The Sun's_
73,Moons
74,The Moon's_
75,Star
76,The Star_
77,Swift
78,The Swift_
79,The PPP_
80,Nights
81,The Night's_
82,Knights
83,The Knight's_
84,King RRR's_
85,Queen RRR's_
86,Duke RRR's_
87,Lord RRR's_
88,Lady RRR's_
89,Duchess RRR's_
90,Sir RRR's_
91,Dame RRR's_
92,The DDD_
93,The Thane's_
94,The Dying_
95,The Goblin's_
97,The Sailer's_
98,The Sea_
99,The Dread_
100,Sarimiere's_
101,Taelinir's_
102,Roelir's_
103,Haelynir's_
104,Anarire's_
105,Deismir's_
106,Erntenir's_
107,Sehnir's_
108,Emmanir's_
109,Keltier's_
110,Faniele's_
111,Pasiphel's_
112,Mothers
113,The Mother's_
114,The Wicked_
115,The Wench's_
116,The Troubador's_
117,The Grim_
118,The Ruddy_
119,The Royal_
120,The Dolphin's_
121,The Nymph's_
122,The Seanymph's_
123,The Seawitch's_
124,The Ranger's_
125,The Paladin's_
126,The Warlock's_
127,The Sorcerer's_
128,The Wizard's_
129,The Bard's_
130,The Rogue's_
131,The Archer's_
