N,Name
0,Aber
1,Ac
2,Acc
3,Afon
4,Avon
5,Ar
6,Ard
7,Ash
8,Ast
9,Auch
10,Ach
11,Ax
12,Bal
13,Balla
14,Bally
15,Ball
16,Ben
17,Beinn
18,Bannock
19,Bex
20,Blen
21,Bost
22,Bourne
23,Brad
24,Bre
25,Caer
26,Car
27,Cheap
28,Craig
29,Cul
30,Dal
31,Din
33,Abing
34,Drum
35,Dun
36,Dum
37,Eagles
38,Fin
39,Gar
40,Gill
41,Ghyll
42,Glen
43,Glyn
44,Howe
45,Inch
46,Inver
47,Kil
48,Kirk
49,Lhan
50,Ling
51,Loch
52,Moss
53,Nan
54,Nor
55,Pant
56,Pen
57,Pit
58,Shep
59,Stan
60,Strath
61,Sud
62,Sut
63,Swin
64,Tre
65,Tra
66,Weald
67,Wes
68,Win
69,Vin
70,Fin
71,PPP
72,PPP_
73,PPP's_
74,Belle
75,Bel
76,Raven
77,Ravens
78,PPPs
